,employee_id,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
0,1003,2,157,3,0,1,0,sales,low
1,1005,5,262,6,0,1,0,sales,medium
2,1486,7,272,4,0,1,0,sales,medium
3,1038,5,223,5,0,1,0,sales,low
4,1057,2,159,3,0,1,0,sales,low
5,1060,2,153,3,0,1,0,sales,low
6,1061,6,247,4,0,1,0,sales,low
7,1576,5,259,5,0,1,0,sales,low
8,1752,5,224,5,0,1,0,sales,low
9,1988,2,142,3,0,1,0,sales,low
10,1071,2,135,3,0,1,0,sales,low
11,1088,6,305,4,0,1,0,sales,low
12,2040,4,234,5,0,1,0,sales,low
13,1097,2,148,3,0,1,0,sales,low
14,1100,2,137,3,0,1,0,sales,low
15,1113,2,143,3,0,1,0,sales,low
16,58014,2,160,3,0,1,0,sales,low
17,3322,4,255,6,0,1,0,sales,low
18,3794,2,160,3,1,1,1,sales,low
19,1140,5,262,5,0,1,0,sales,low
20,1148,6,282,4,0,1,0,sales,low
21,1149,2,147,3,0,1,0,sales,low
22,1158,6,304,4,0,1,0,sales,low
23,1166,2,139,3,0,1,0,sales,low
24,1175,2,158,3,0,1,0,sales,low
25,1184,5,242,5,0,1,0,sales,low
26,1186,4,239,5,0,1,0,sales,low
27,1201,2,135,3,0,1,0,sales,low
28,1203,2,128,3,0,1,0,accounting,low
29,1204,2,132,3,0,1,0,accounting,low
30,1214,6,294,4,0,1,0,accounting,low
31,1223,2,134,3,0,1,0,hr,low
32,1228,2,145,3,0,1,0,hr,low
33,1230,2,140,3,0,1,0,hr,low
34,1236,4,246,6,0,1,0,hr,low
35,4266,6,255,4,0,1,0,technical,low
36,1240,2,137,3,0,1,0,technical,low
37,1248,2,126,3,0,1,0,technical,low
38,1256,6,306,4,0,1,0,technical,low
39,4414,2,152,3,0,1,0,technical,low
40,1284,5,269,5,0,1,0,technical,low
41,5983,2,158,3,0,1,0,technical,low
42,1293,2,127,3,0,1,0,technical,low
43,7010,7,281,4,0,1,0,technical,low
44,52647,6,276,4,0,1,0,technical,low
45,10497,3,182,4,0,1,0,technical,low
46,1310,2,147,3,0,1,0,support,low
47,1311,3,273,6,0,1,0,support,low
48,1316,2,148,3,0,1,0,support,low
49,1319,2,147,3,0,1,0,support,low
50,10865,6,152,2,0,1,0,support,low
51,1332,2,135,3,0,1,0,support,low
52,1334,2,134,3,0,1,0,support,low
53,1340,2,132,3,0,1,0,support,low
54,1341,7,307,4,0,1,0,support,low
55,1347,2,140,3,0,1,0,support,low
